"arc_id","flow","traversal_time","active","x1","x2","y1","y2","z1","z2","capacity","initial_node","final_node"
1,0,"00:00:06",True,79,439,844,727,0,300,1000,1,21
2,0,"00:00:05",True,139,439,840,727,0,300,1000,2,21
3,0,"00:00:04",True,225,439,846,727,0,300,1000,3,21
4,0,"00:00:03",True,278,439,833,727,0,300,1000,4,21
5,0,"00:00:02",True,373,439,834,727,0,300,1000,5,21
6,0,"00:00:02",True,432,439,845,727,0,300,1000,6,21
7,0,"00:00:02",True,439,533,727,839,0,300,1000,21,7
8,0,"00:00:04",True,656,439,843,727,0,300,1000,8,21
9,0,"00:00:02",True,656,784,843,804,0,300,1000,8,22
10,0,"00:00:01",True,786,784,894,804,0,300,1000,23,22
11,0,"00:00:01",True,875,784,863,804,0,300,1000,24,22
12,0,"00:00:05",True,439,784,727,804,0,300,1000,21,22
13,0,"00:00:01",True,776,784,733,804,0,300,1000,29,22
14,0,"00:00:01",True,704,784,721,804,0,300,1000,27,22
15,0,"00:00:02",True,709,784,692,804,0,300,1000,26,22
16,0,"00:00:01",True,772,784,688,804,0,300,1000,28,22
17,0,"00:00:03",True,784,927,804,655,0,300,1000,22,25
18,0,"00:00:01",True,534,439,679,727,0,300,1000,15,21
19,0,"00:00:03",True,645,439,678,727,0,300,1000,16,21
20,0,"00:00:01",True,416,439,643,727,0,300,1000,12,21
21,0,"00:00:01",True,449,439,643,727,0,300,1000,13,21
22,0,"00:00:02",True,308,439,725,727,0,300,1000,14,21
23,0,"00:00:02",True,330,439,643,727,0,300,1000,11,21
24,0,"00:00:03",True,230,439,661,727,0,300,1000,10,21
25,0,"00:00:05",True,128,439,671,727,0,300,1000,9,21
26,0,"00:00:04",True,439,440,727,472,0,300,1000,21,30
27,0,"00:00:02",True,784,790,804,639,0,300,1000,22,20
28,0,"00:00:02",True,752,784,634,804,0,300,1000,19,22
29,0,"00:00:03",True,722,784,634,804,0,300,1000,18,22
30,0,"00:00:03",True,690,784,636,804,0,300,1000,17,22
31,0,"00:00:01",True,786,875,894,863,0,300,1000,23,24
32,0,"00:00:06",True,128,440,671,472,0,300,1000,9,30
33,0,"00:00:04",True,230,440,661,472,0,300,1000,10,30
34,0,"00:00:03",True,330,440,643,472,0,300,1000,11,30
35,0,"00:00:03",True,534,440,679,472,0,300,1000,15,30
36,0,"00:00:04",True,645,440,678,472,0,300,1000,16,30
37,0,"00:00:05",True,690,440,636,472,0,300,1000,17,30
38,0,"00:00:05",True,722,440,634,472,0,300,1000,18,30
39,0,"00:00:05",True,752,440,634,472,0,300,1000,19,30
40,0,"00:00:06",True,790,440,639,472,0,300,1000,20,30
41,0,"00:00:06",True,144,440,272,472,0,300,1000,31,30
42,0,"00:00:01",True,288,379,292,271,0,300,1000,39,55
43,0,"00:00:01",True,289,379,264,271,0,300,1000,38,55
44,0,"00:00:01",True,299,379,221,271,0,300,1000,37,55
45,0,"00:00:03",True,512,440,250,472,0,300,1000,36,30
46,0,"00:00:05",True,695,440,270,472,0,300,1000,44,30
47,0,"00:00:05",True,440,719,472,272,0,300,1000,30,45
48,0,"00:00:06",True,760,440,271,472,0,300,1000,46,30
49,0,"00:00:06",True,787,440,293,472,0,300,1000,47,30
50,0,"00:00:07",True,836,440,312,472,0,300,1000,56,30
51,0,"00:00:07",True,440,903,472,396,0,300,1000,30,53
52,0,"00:00:01",True,836,903,312,396,0,300,1000,56,53
53,0,"00:00:06",True,831,440,522,472,0,300,1000,48,30
54,0,"00:00:07",True,912,440,491,472,0,300,1000,50,30
55,0,"00:00:06",True,833,440,557,472,0,300,1000,51,30
56,0,"00:00:07",True,838,440,590,472,0,300,1000,52,30
57,0,"00:00:01",True,833,838,557,590,0,300,1000,51,52
58,0,"00:00:01",True,949,838,557,590,0,300,1000,49,52
59,0,"00:00:03",True,838,784,590,804,0,300,1000,52,22
60,0,"00:00:01",True,531,512,201,250,0,300,1000,57,36
61,0,"00:00:02",True,379,531,271,201,0,300,1000,55,57
62,0,"00:00:06",True,159,531,125,201,0,300,1000,32,57
63,0,"00:00:03",True,327,531,111,201,0,300,1000,33,57
64,0,"00:00:01",True,532,531,106,201,0,300,1000,34,57
65,0,"00:00:05",True,846,531,121,201,0,300,1000,35,57
66,0,"00:00:03",True,695,531,270,201,0,300,1000,44,57
67,0,"00:00:03",True,719,531,272,201,0,300,1000,45,57
68,0,"00:00:04",True,760,531,271,201,0,300,1000,46,57
69,0,"00:00:04",True,787,531,293,201,0,300,1000,47,57
70,0,"00:00:01",True,836,817,312,266,0,300,1000,56,43
71,0,"00:00:01",True,812,836,230,312,0,300,1000,40,56
72,0,"00:00:07",True,531,966,201,221,0,300,1000,57,41
73,0,"00:00:07",True,531,966,201,260,0,300,1000,57,42
74,0,"00:00:06",True,531,144,201,272,0,300,1000,57,31
75,0,"00:00:01",True,440,379,472,271,0,300,1000,30,55
76,0,"00:00:05",True,80,375,293,198,300,600,1000,61,158
77,0,"00:00:04",True,151,375,290,198,300,600,1000,62,158
78,0,"00:00:02",True,227,375,290,198,300,600,1000,63,158
79,0,"00:00:01",True,300,375,261,198,300,600,1000,66,158
80,0,"00:00:02",True,298,375,295,198,300,600,1000,67,158
81,0,"00:00:05",True,80,375,102,198,300,600,1000,60,158
82,0,"00:00:04",True,151,375,118,198,300,600,1000,64,158
83,0,"00:00:02",True,375,224,198,127,300,600,1000,158,65
84,0,"00:00:01",True,332,375,126,198,300,600,1000,79,158
85,0,"00:00:01",True,469,375,129,198,300,600,1000,80,158
86,0,"00:00:01",True,437,375,252,198,300,600,1000,69,158
87,0,"00:00:02",True,501,375,251,198,300,600,1000,70,158
