"node_id","x1","x2","y1","y2","z1","z2","floor_level","capacity","node_type","current_occupancy","safe","evacuation_path","last_modified","last_modified_by"
1,69,89,834,854,0,300,"{0}",1000,"classroom",0,False,"{1,26}","2025-09-12 09:00:30.954185+02","postgres"
2,129,149,830,850,0,300,"{0}",1000,"classroom",0,False,"{2,26}","2025-09-12 09:00:30.954185+02","postgres"
3,215,235,836,856,0,300,"{0}",1000,"classroom",0,False,"{3,26}","2025-09-12 09:00:30.954185+02","postgres"
4,268,288,823,843,0,300,"{0}",1000,"classroom",0,False,"{4,26}","2025-09-12 09:00:30.954185+02","postgres"
5,363,383,824,844,0,300,"{0}",1000,"classroom",0,False,"{5,26}","2025-09-12 09:00:30.954185+02","postgres"
6,422,442,835,855,0,300,"{0}",1000,"classroom",0,False,"{6,26}","2025-09-12 09:00:30.954185+02","postgres"
7,523,543,829,849,0,300,"{0}",1000,"classroom",0,False,"{219,26}","2025-09-12 09:00:30.954185+02","postgres"
8,646,666,833,853,0,300,"{0}",1000,"classroom",0,False,"{9,222}","2025-09-12 09:00:30.954185+02","postgres"
9,118,138,661,681,0,300,"{0}",1000,"classroom",0,False,"{32}","2025-09-12 09:00:30.954185+02","postgres"
10,220,240,651,671,0,300,"{0}",1000,"classroom",0,False,"{33}","2025-09-12 09:00:30.954185+02","postgres"
11,320,340,633,653,0,300,"{0}",1000,"classroom",0,False,"{34}","2025-09-12 09:00:30.954185+02","postgres"
12,406,426,633,653,0,300,"{0}",1000,"bathroom",0,False,"{20,26}","2025-09-12 09:00:30.954185+02","postgres"
13,439,459,633,653,0,300,"{0}",1000,"bathroom",0,False,"{21,26}","2025-09-12 09:00:30.954185+02","postgres"
14,298,318,715,735,0,300,"{0}",1000,"bathroom",0,False,"{22,26}","2025-09-12 09:00:30.954185+02","postgres"
15,524,544,669,689,0,300,"{0}",1000,"classroom",0,False,"{35}","2025-09-12 09:00:30.954185+02","postgres"
16,635,655,668,688,0,300,"{0}",1000,"classroom",0,False,"{36}","2025-09-12 09:00:30.954185+02","postgres"
